index,location,time_of_day,soc,distance,coil_type,duration,v_pri_v,a_pri_a,v_sin_v,a_sin_a,v_sout_v,a_sout_a,t_coil_c,t_ambiant_c,timestamp
0,Umraniye,Evening,20%,80,Single,30,218,2.3,46,3.4,48,3,33,32,2025-05-07 15:07:32
1,Umraniye,Evening,20%,80,Single,30,216,2.2,46,3.4,48,3,35,30,2025-05-07 15:07:37
2,Umraniye,Evening,20%,80,Single,30,215,2.3,46,3.5,48,3,36,28,2025-05-07 15:07:42
3,Umraniye,Evening,20%,80,Single,30,214,2.3,46,3.6,48,3,42,29,2025-05-07 15:07:47
4,Umraniye,Evening,20%,80,Single,30,218,2.3,46,3.5,48,3,44,31,2025-05-07 15:07:52
5,Umraniye,Evening,20%,80,Single,30,211,2.2,46,3.6,48,3,49,26,2025-05-07 15:07:57
6,Umraniye,Evening,20%,80,Single,30,217,2.2,46,3.4,48,3,52,32,2025-05-07 15:08:02
7,Umraniye,Evening,20%,80,Single,30,218,2.2,46,3.5,48,3,58,30,2025-05-07 15:08:07
8,Umraniye,Evening,20%,80,Single,30,216,2.2,46,3.6,48,3,47,33,2025-05-07 15:08:12
9,Umraniye,Evening,20%,80,Single,30,212,2.2,46,3.4,48,3,60,34,2025-05-07 15:08:17
10,Umraniye,Evening,20%,80,Single,30,214,2.3,46,3.5,48,3,54,31,2025-05-07 15:08:22
11,Umraniye,Evening,20%,80,Single,30,214,1.9,46,3.2,48,3,57,32,2025-05-07 15:08:27
12,Umraniye,Evening,20%,80,Single,30,213,2.2,46,3.4,48,3,68,28,2025-05-07 15:08:32
13,Umraniye,Evening,20%,80,Single,30,212,2.2,46,3.5,48,3,75,31,2025-05-07 15:08:37
14,Umraniye,Evening,20%,80,Single,30,220,2.1,46,3.4,48,3,79,24,2025-05-07 15:08:42
15,Umraniye,Evening,20%,80,Single,30,217,2.2,46,3.5,48,3,83,33,2025-05-07 15:08:47
16,Umraniye,Evening,20%,80,Single,30,212,2.3,46,3.5,48,3,67,29,2025-05-07 15:08:52
17,Umraniye,Evening,20%,80,Single,30,219,2.0,46,3.2,48,3,79,24,2025-05-07 15:08:57
18,Umraniye,Evening,20%,80,Single,30,211,2.3,46,3.5,48,3,82,31,2025-05-07 15:09:02
19,Umraniye,Evening,20%,80,Single,30,213,2.1,46,3.3,48,3,75,32,2025-05-07 15:09:07
20,Umraniye,Evening,20%,80,Single,30,216,2.2,46,3.4,48,3,80,29,2025-05-07 15:09:12
21,Umraniye,Evening,20%,80,Single,30,216,2.1,46,3.5,48,3,93,27,2025-05-07 15:09:17
22,Umraniye,Evening,20%,80,Single,30,220,2.2,46,3.4,48,3,90,21,2025-05-07 15:09:22
23,Umraniye,Evening,20%,80,Single,30,212,2.3,46,3.5,48,3,77,28,2025-05-07 15:09:27
24,Umraniye,Evening,20%,80,Single,30,215,2.1,46,3.4,48,3,86,34,2025-05-07 15:09:32
25,Umraniye,Evening,20%,80,Single,30,216,1.9,46,3.5,48,3,93,26,2025-05-07 15:09:37
26,Umraniye,Evening,20%,80,Single,30,214,2.2,46,3.4,48,3,64,26,2025-05-07 15:09:42
27,Umraniye,Evening,20%,80,Single,30,220,2.3,46,3.5,48,3,89,32,2025-05-07 15:09:47
28,Umraniye,Evening,20%,80,Single,30,214,2.3,46,3.5,48,3,98,23,2025-05-07 15:09:52
29,Umraniye,Evening,20%,80,Single,30,216,2.1,46,3.4,48,3,90,26,2025-05-07 15:09:57
30,Umraniye,Evening,20%,80,Single,30,214,2.2,46,3.5,48,3,102,31,2025-05-07 15:10:02
31,Umraniye,Evening,20%,80,Single,30,211,2.3,46,3.3,48,3,69,31,2025-05-07 15:10:07
32,Umraniye,Evening,20%,80,Single,30,222,2.0,46,3.4,48,3,105,24,2025-05-07 15:10:12
33,Umraniye,Evening,20%,80,Single,30,218,2.1,46,3.5,48,3,94,31,2025-05-07 15:10:17
34,Umraniye,Evening,20%,80,Single,30,218,2.1,46,3.5,48,3,108,31,2025-05-07 15:10:22
35,Umraniye,Evening,20%,80,Single,30,216,2.2,46,3.5,48,3,112,26,2025-05-07 15:10:27
36,Umraniye,Evening,20%,80,Single,30,214,2.2,46,3.6,48,3,108,28,2025-05-07 15:10:32
37,Umraniye,Evening,20%,80,Single,30,217,2.2,46,3.5,48,3,102,31,2025-05-07 15:10:37
38,Umraniye,Evening,20%,80,Single,30,216,2.3,46,3.6,48,3,114,27,2025-05-07 15:10:42
39,Umraniye,Evening,20%,80,Single,30,214,2.2,46,3.5,48,3,103,23,2025-05-07 15:10:47
40,Umraniye,Evening,20%,80,Single,30,217,2.3,46,3.5,48,3,105,31,2025-05-07 15:10:52
41,Umraniye,Evening,20%,80,Single,30,219,2.2,46,3.5,48,3,105,32,2025-05-07 15:10:57
42,Umraniye,Evening,20%,80,Single,30,220,2.0,46,3.4,48,3,106,29,2025-05-07 15:11:02
43,Umraniye,Evening,20%,80,Single,30,217,2.0,46,3.5,48,3,97,27,2025-05-07 15:11:07
44,Umraniye,Evening,20%,80,Single,30,210,2.3,46,3.6,48,3,101,28,2025-05-07 15:11:12
45,Umraniye,Evening,20%,80,Single,30,215,2.2,46,3.5,48,3,118,25,2025-05-07 15:11:17
46,Umraniye,Evening,20%,80,Single,30,214,2.3,46,3.5,48,3,120,22,2025-05-07 15:11:22
47,Umraniye,Evening,20%,80,Single,30,210,2.3,46,3.5,48,3,109,31,2025-05-07 15:11:27
48,Umraniye,Evening,20%,80,Single,30,215,2.4,46,3.6,48,3,118,31,2025-05-07 15:11:32
49,Umraniye,Evening,20%,80,Single,30,214,2.2,46,3.5,48,3,116,31,2025-05-07 15:11:37
50,Umraniye,Evening,20%,80,Single,30,215,2.1,46,3.6,48,3,109,28,2025-05-07 15:11:42
51,Umraniye,Evening,20%,80,Single,30,219,2.1,46,3.4,48,3,119,33,2025-05-07 15:11:47
52,Umraniye,Evening,20%,80,Single,30,215,2.3,46,3.5,48,3,113,28,2025-05-07 15:11:52
53,Umraniye,Evening,20%,80,Single,30,212,2.2,46,3.5,48,3,121,28,2025-05-07 15:11:57
54,Umraniye,Evening,20%,80,Single,30,211,2.4,46,3.5,48,3,113,17,2025-05-07 15:12:02
55,Umraniye,Evening,20%,80,Single,30,210,2.2,46,3.4,48,3,120,27,2025-05-07 15:12:07
56,Umraniye,Evening,20%,80,Single,30,217,2.2,46,3.5,48,3,115,21,2025-05-07 15:12:12
57,Umraniye,Evening,20%,80,Single,30,222,2.2,46,3.5,48,3,121,33,2025-05-07 15:12:17
58,Umraniye,Evening,20%,80,Single,30,219,2.1,46,3.4,48,3,108,28,2025-05-07 15:12:22
59,Umraniye,Evening,20%,80,Single,30,215,2.1,46,3.5,48,3,109,33,2025-05-07 15:12:27
60,Umraniye,Evening,20%,80,Single,30,215,2.4,46,3.6,48,3,122,24,2025-05-07 15:12:32
61,Umraniye,Evening,20%,80,Single,30,213,2.3,46,3.5,48,3,121,28,2025-05-07 15:12:37
62,Umraniye,Evening,20%,80,Single,30,214,2.1,46,3.4,48,3,116,27,2025-05-07 15:12:42
63,Umraniye,Evening,20%,80,Single,30,215,2.3,46,3.5,48,3,120,20,2025-05-07 15:12:47
64,Umraniye,Evening,20%,80,Single,30,212,2.3,46,3.6,48,3,110,33,2025-05-07 15:12:52
